"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"230"	503	"IRD_012022"	"2"	"AS146"	"T"	"C1"	111	3	2	3	"D"	21
"231"	575	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	130	2	2	1	"D"	24
"232"	575	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	24
"233"	575	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	141	8	2	3	"D"	24
"234"	575	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	119	4	2	1	"D"	24
"235"	575	"IRD_012022"	"1"	"AS141"	"T"	"C1"	139	4	2	1	"D"	24
"236"	575	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	161	2	2	1	"D"	24
"237"	575	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	131	5	2	1	"D"	24
"238"	575	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	172	3	2	1	"D"	24
"239"	575	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	109	4	2	3	"D"	24
"240"	575	"IRD_012022"	"2"	"AS146"	"T"	"C1"	120	3	2	3	"D"	24
"241"	599	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	134	4	2	1	"D"	25
"242"	599	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	25
"243"	599	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	145	8	2	3	"D"	25
"244"	599	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	124	4	2	1	"D"	25
"245"	599	"IRD_012022"	"1"	"AS141"	"T"	"C1"	114	4	2	1	"D"	25
"246"	599	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	167	2	2	1	"D"	25
"247"	599	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	131	5	2	1	"D"	25
"248"	599	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	176	7	2	1	"D"	25
"249"	599	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	108	4	2	3	"D"	25
"250"	599	"IRD_012022"	"2"	"AS146"	"T"	"C1"	121	3	2	3	"D"	25
"251"	623	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	143	4	2	1	"D"	26
"252"	623	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	26
"253"	623	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	148	8	2	3	"D"	26
"254"	623	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	130	6	2	1	"D"	26
"255"	623	"IRD_012022"	"1"	"AS141"	"T"	"C1"	151	4	2	1	"D"	26
"256"	623	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	174	4	2	1	"D"	26
"257"	623	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	137	7	2	1	"D"	26
"258"	623	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	185	7	2	1	"D"	26
"259"	623	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	110	6	2	3	"D"	26
"260"	623	"IRD_012022"	"2"	"AS146"	"T"	"C1"	121	3	2	3	"D"	26
"261"	671	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	154	4	2	1	"D"	28
"262"	671	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	28
